UDP burst ID    From      To        Target rate         Start time      Duration        Outgoing rate (w/ headers)  Outgoing rate (payload)     Packets sent    Data sent (w/headers)       Data sent (payload)         Metadata
0               668       704       5.00 Mbit/s         0.00 ms         10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
1               637       635       5.00 Mbit/s         8000.00 ms      10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
2               657       680       5.00 Mbit/s         16000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
3               657       647       5.00 Mbit/s         24000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
4               649       635       5.00 Mbit/s         32000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
5               692       702       5.00 Mbit/s         40000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
6               687       703       5.00 Mbit/s         48000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
7               712       641       5.00 Mbit/s         56000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
8               647       683       5.00 Mbit/s         64000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
9               649       690       5.00 Mbit/s         72000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
10              651       674       5.00 Mbit/s         80000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
11              723       684       5.00 Mbit/s         88000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
12              675       632       5.00 Mbit/s         96000.00 ms     10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
13              653       659       5.00 Mbit/s         104000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
14              649       638       5.00 Mbit/s         112000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
15              722       684       5.00 Mbit/s         120000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
16              712       665       5.00 Mbit/s         128000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
17              626       670       5.00 Mbit/s         136000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
18              689       627       5.00 Mbit/s         144000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
19              627       657       5.00 Mbit/s         152000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
20              645       651       5.00 Mbit/s         160000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
21              719       629       5.00 Mbit/s         168000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
22              708       661       5.00 Mbit/s         176000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
23              704       722       5.00 Mbit/s         184000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
24              699       633       5.00 Mbit/s         192000.00 ms    10000.00 ms     5.00 Mbit/s                 4.91 Mbit/s                 4167            50.00 Mbit                  49.07 Mbit                  handover_eval
